TRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,OUTSTANDING_SHARE,TURNOVER,TS_CODE,AK_SYMBOL
2025-07-24,24.93,27.1,24.93,26.87,73485665.0,1928026135.0,956724021.0,0.0768096790579067,002008.SZ,sz002008
2025-07-25,26.5,26.77,26.25,26.42,33677431.0,891618316.0,956724021.0,0.0352007791806034,002008.SZ,sz002008
2025-07-28,26.37,28.3,26.33,28.08,63581080.0,1750589928.0,956724021.0,0.0664570749812918,002008.SZ,sz002008
2025-07-29,27.76,27.81,27.21,27.45,33470196.0,918292041.0,956724021.0,0.0349841702155819,002008.SZ,sz002008
2025-07-30,27.47,27.48,26.39,26.51,37713509.0,1007962991.0,956724021.0,0.0394194231274558,002008.SZ,sz002008
2025-07-31,26.47,28.1,26.45,26.97,56832127.0,1547952208.0,956724021.0,0.0594028431946311,002008.SZ,sz002008
2025-08-01,26.9,27.3,26.35,26.56,30675425.0,820537032.0,956724021.0,0.0320629819328012,002008.SZ,sz002008
2025-08-04,26.4,26.54,25.99,26.47,20518995.0,539540369.0,956724021.0,0.0214471410245902,002008.SZ,sz002008
2025-08-05,26.53,26.88,26.4,26.73,23889276.0,636336044.0,956724021.0,0.0249698716407581,002008.SZ,sz002008
2025-08-06,26.67,27.08,26.48,27.02,29486842.0,793704206.0,956724021.0,0.0308206351599485,002008.SZ,sz002008
2025-08-07,27.51,29.17,27.41,29.13,91017003.0,2574689287.0,956724021.0,0.0951340208902312,002008.SZ,sz002008
2025-08-08,28.84,30.98,28.42,30.8,104739077.0,3123344217.0,956724021.0,0.1094767923674825,002008.SZ,sz002008
2025-08-11,32.99,33.88,31.92,33.88,95020471.0,3146926697.0,956724021.0,0.0993185797725465,002008.SZ,sz002008
2025-08-12,34.5,35.82,33.78,34.76,174984822.0,6081188160.0,956724021.0,0.182899998493923,002008.SZ,sz002008
2025-08-13,34.21,35.83,34.07,35.69,112442672.0,3951223582.0,956724021.0,0.1175288479560397,002008.SZ,sz002008
2025-08-14,35.68,37.12,34.9,34.98,107394624.0,3852571123.0,956724021.0,0.1122524590610231,002008.SZ,sz002008
2025-08-15,34.87,35.69,34.08,34.45,78058835.0,2714811014.0,956724021.0,0.0815897095574231,002008.SZ,sz002008
2025-08-18,34.02,35.06,33.0,33.82,87550781.0,2946201512.0,956724021.0,0.0915110095265393,002008.SZ,sz002008
2025-08-19,33.63,34.06,33.0,33.07,56307389.0,1880855915.0,956724021.0,0.0588543694566648,002008.SZ,sz002008
2025-08-20,33.01,34.35,32.95,33.47,71745667.0,2412191490.0,956724021.0,0.0749909748529246,002008.SZ,sz002008
2025-08-21,33.77,33.82,32.56,32.72,53791415.0,1775138604.0,956724021.0,0.0562245891388567,002008.SZ,sz002008
2025-08-22,32.61,33.92,32.61,33.64,46730368.0,1564607423.0,956724021.0,0.0488441462472697,002008.SZ,sz002008
2025-08-25,33.8,36.06,33.1,35.7,115098329.0,3989169276.0,956724021.0,0.1203046296252657,002008.SZ,sz002008
2025-08-26,35.0,38.36,34.25,37.82,111713292.0,4094648547.0,956724021.0,0.1167664755435256,002008.SZ,sz002008
2025-08-27,37.54,37.82,36.47,36.52,66346349.0,2468606782.0,956724021.0,0.069347426785263,002008.SZ,sz002008
2025-08-28,36.12,37.89,35.82,37.19,59834048.0,2202346789.0,956724021.0,0.0625405515975855,002008.SZ,sz002008
2025-08-29,37.15,38.28,36.7,37.46,48473732.0,1826694035.0,956724021.0,0.0506663687082233,002008.SZ,sz002008
2025-09-01,37.21,37.81,35.84,36.37,49923643.0,1815507697.0,956724021.0,0.0521818642619823,002008.SZ,sz002008
2025-09-02,36.7,36.74,34.02,34.34,62015925.0,2163869629.0,956724021.0,0.0648211225376978,002008.SZ,sz002008
2025-09-03,34.44,35.14,34.12,34.25,33744717.0,1166139668.0,956724021.0,0.0352711087620951,002008.SZ,sz002008
2025-09-04,34.42,35.54,32.16,32.92,46934271.0,1584974338.0,956724021.0,0.0490572724942588,002008.SZ,sz002008
2025-09-05,32.95,34.08,32.95,34.0,31426495.0,1053880915.0,956724021.0,0.0328480254599983,002008.SZ,sz002008
2025-09-08,34.18,34.67,33.95,34.1,33073050.0,1131221305.0,956724021.0,0.0345690599107472,002008.SZ,sz002008
2025-09-09,33.95,35.17,33.7,34.41,41279822.0,1425604083.0,956724021.0,0.0431470529577097,002008.SZ,sz002008
2025-09-10,34.41,36.0,33.97,35.51,55735452.0,1962202251.0,956724021.0,0.0582565617425842,002008.SZ,sz002008
2025-09-11,35.6,39.06,35.28,39.06,79490186.0,2996374061.0,956724021.0,0.083085805577364,002008.SZ,sz002008
2025-09-12,38.68,39.31,38.21,38.33,58668152.0,2272225252.0,956724021.0,0.0613219180372183,002008.SZ,sz002008
2025-09-15,38.48,39.53,37.44,37.63,36793952.0,1400892453.0,956724021.0,0.0384582713430166,002008.SZ,sz002008
2025-09-16,38.23,41.13,38.03,40.37,75754468.0,3001113779.0,956724021.0,0.0791811079655122,002008.SZ,sz002008
2025-09-17,40.32,40.96,39.0,39.97,54744919.0,2183894548.0,956724021.0,0.0572212234650268,002008.SZ,sz002008
