TRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,OUTSTANDING_SHARE,TURNOVER,TS_CODE,AK_SYMBOL
2025-07-24,48.76,48.87,47.6,48.07,28870218.0,1386260029.0,1004985657.0,0.02872699505601,000988.SZ,sz000988
2025-07-25,48.08,48.17,47.41,47.85,19819109.0,947486391.0,1004985657.0,0.0197207879156826,000988.SZ,sz000988
2025-07-28,48.77,50.83,48.58,50.42,63865890.0,3187589874.0,1004985657.0,0.0635490562030976,000988.SZ,sz000988
2025-07-29,50.03,51.5,49.7,51.45,46709076.0,2366416869.0,1004985657.0,0.0464773558454874,000988.SZ,sz000988
2025-07-30,51.15,51.23,49.81,50.28,35158431.0,1772790692.0,1004985657.0,0.0349840127121336,000988.SZ,sz000988
2025-07-31,50.93,52.35,50.24,50.56,55189481.0,2833623454.0,1004985657.0,0.0549156902047209,000988.SZ,sz000988
2025-08-01,50.39,51.48,49.45,50.08,38707636.0,1948158358.0,1004985657.0,0.038515610377512,000988.SZ,sz000988
2025-08-04,49.65,50.49,49.52,50.06,24265808.0,1212882788.0,1004985657.0,0.0241454271819523,000988.SZ,sz000988
2025-08-05,50.66,51.7,50.06,51.1,37810632.0,1920666336.0,1004985657.0,0.0376230563457683,000988.SZ,sz000988
2025-08-06,50.82,51.59,50.71,51.02,24644260.0,1258343379.0,1004985657.0,0.0245220017105179,000988.SZ,sz000988
2025-08-07,50.98,51.25,48.75,49.6,46335800.0,2300599112.0,1004985657.0,0.0461059316391815,000988.SZ,sz000988
2025-08-08,49.44,50.12,49.21,49.43,20565798.0,1020467361.0,1004985657.0,0.0204637726486478,000988.SZ,sz000988
2025-08-11,49.4,51.38,49.35,51.38,39848048.0,2016646246.0,1004985657.0,0.0396503648807795,000988.SZ,sz000988
2025-08-12,50.98,51.85,50.85,51.7,29831836.0,1531532886.0,1004985657.0,0.0296838425426403,000988.SZ,sz000988
