TRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,OUTSTANDING_SHARE,TURNOVER,TS_CODE,AK_SYMBOL
2025-07-25,27.75,28.43,27.71,27.96,107433857.0,3082064581.0,19858182061.0,0.0054100549924452,601138.SH,sh601138
2025-07-28,28.23,28.84,27.91,28.84,152249569.0,4437868498.0,19858182061.0,0.0076668432453848,601138.SH,sh601138
2025-07-29,28.83,30.51,28.59,30.42,178836481.0,5443611579.0,19858182061.0,0.0090056824159761,601138.SH,sh601138
2025-07-30,30.24,33.41,29.55,32.46,206835613.0,6670342339.0,19858182061.0,0.010415636857626,601138.SH,sh601138
2025-07-31,33.08,35.71,33.02,34.42,302280341.0,10515073293.0,19858182061.0,0.0152219543597425,601138.SH,sh601138
2025-08-01,33.82,34.11,32.3,32.82,219395147.0,7294069283.0,19858182061.0,0.0110480982763712,601138.SH,sh601138
2025-08-04,32.22,32.92,32.04,32.79,138180054.0,4507279459.0,19858182061.0,0.0069583435973917,601138.SH,sh601138
2025-08-05,33.32,35.15,32.93,34.86,244590076.0,8367476018.0,19858182061.0,0.0123168412520679,601138.SH,sh601138
2025-08-06,33.91,34.5,33.37,34.11,147620736.0,5047534286.0,19858182061.0,0.0074337487463122,601138.SH,sh601138
2025-08-07,36.0,37.44,34.53,35.46,243591751.0,8779278722.0,19858182061.0,0.012266568523329,601138.SH,sh601138
2025-08-08,35.54,37.35,34.87,36.39,180125156.0,6572389388.0,19858182061.0,0.0090705763219762,601138.SH,sh601138
2025-08-11,36.3,36.99,34.91,36.15,192984769.0,7003982795.0,19858182061.0,0.0097181488419832,601138.SH,sh601138
2025-08-12,36.27,39.49,36.27,39.49,222850156.0,8550587057.0,19858182061.0,0.011222082430076,601138.SH,sh601138
2025-08-13,39.5,43.44,38.74,43.44,242366773.0,10023782873.0,19858182061.0,0.0122048822120525,601138.SH,sh601138
2025-08-14,43.72,45.53,42.75,42.99,242001501.0,10650283436.0,19858182061.0,0.0121864881818801,601138.SH,sh601138
2025-08-15,42.36,45.45,42.27,44.62,230671299.0,10234688715.0,19858182061.0,0.0116159323291239,601138.SH,sh601138
2025-08-18,44.56,45.0,41.43,44.22,263078034.0,11509162414.0,19858182061.0,0.0132478407737365,601138.SH,sh601138
2025-08-19,43.78,48.64,43.44,48.64,273043827.0,12733532496.0,19858182061.0,0.0137496889776349,601138.SH,sh601138
2025-08-20,46.25,48.69,45.55,47.65,253058665.0,11955177840.0,19858182061.0,0.0127432946390892,601138.SH,sh601138
2025-08-21,47.16,48.14,44.33,45.04,231661917.0,10647328640.0,19858182061.0,0.0116658169558716,601138.SH,sh601138
2025-08-22,44.26,47.03,43.76,45.58,241263010.0,11006049638.0,19858182061.0,0.0121492999338455,601138.SH,sh601138
2025-08-25,46.25,47.81,44.46,47.74,306073008.0,14043646790.0,19858182061.0,0.0154129419832999,601138.SH,sh601138
2025-08-26,46.63,46.74,45.23,45.23,221637437.0,10207619380.0,19858182061.0,0.0111610134462046,601138.SH,sh601138
2025-08-27,44.76,47.63,44.27,45.47,260361155.0,12048546713.0,19858182061.0,0.0131110266891615,601138.SH,sh601138
2025-08-28,44.36,49.68,43.98,48.67,345929345.0,16267081571.0,19858182061.0,0.0174199906082732,601138.SH,sh601138
2025-08-29,47.74,53.54,46.88,53.54,343022654.0,17371646436.0,19858182061.0,0.0172736181462285,601138.SH,sh601138
2025-09-01,53.7,56.65,52.02,55.32,269519213.0,14793140838.0,19858182061.0,0.0135721997195964,601138.SH,sh601138
2025-09-02,56.39,57.69,52.22,53.59,272311538.0,15010975666.0,19858182061.0,0.0137128130441909,601138.SH,sh601138
2025-09-03,53.59,55.3,50.8,53.95,221915698.0,11903006052.0,19858182061.0,0.0111750258567638,601138.SH,sh601138
2025-09-04,56.19,57.57,49.66,52.84,333831271.0,18022745305.0,19858182061.0,0.0168107669662078,601138.SH,sh601138
2025-09-05,53.01,56.89,50.33,55.53,339091254.0,18175746989.0,19858182061.0,0.0170756443343295,601138.SH,sh601138
2025-09-08,54.7,55.84,50.11,51.12,303251521.0,15981215892.0,19858182061.0,0.0152708601456305,601138.SH,sh601138
2025-09-09,50.13,51.22,47.24,48.53,262177391.0,12944729646.0,19858182061.0,0.0132024870249778,601138.SH,sh601138
2025-09-10,51.32,53.38,50.33,53.38,346078651.0,18310218737.0,19858182061.0,0.0174275092219882,601138.SH,sh601138
2025-09-11,55.5,58.72,54.35,58.72,272279844.0,15528041271.0,19858182061.0,0.0137112170269975,601138.SH,sh601138
2025-09-12,58.56,62.76,57.71,61.56,315605216.0,19269402667.0,19858182061.0,0.0158929561140355,601138.SH,sh601138
2025-09-15,59.67,60.95,58.18,59.57,193171858.0,11563491312.0,19858182061.0,0.0097275700971326,601138.SH,sh601138
2025-09-16,59.54,61.56,58.55,59.41,179496997.0,10801450448.0,19858182061.0,0.0090389440709438,601138.SH,sh601138
2025-09-17,58.58,62.66,57.4,60.79,241909399.0,14585318191.0,19858182061.0,0.0121818501943887,601138.SH,sh601138
2025-09-18,59.07,66.87,59.07,64.01,315066851.0,20292012592.0,19858182061.0,0.0158658456263611,601138.SH,sh601138
2025-09-19,65.28,68.26,64.65,65.74,236867281.0,15781011244.0,19858182061.0,0.0119279438708133,601138.SH,sh601138
2025-09-22,66.19,71.5,64.29,70.12,239928000.0,16708442542.0,19858182061.0,0.0120820727326899,601138.SH,sh601138
2025-09-23,74.31,74.31,68.13,70.49,267032716.0,19020544374.0,19858182061.0,0.0134469869990985,601138.SH,sh601138
2025-09-24,68.43,69.56,67.13,68.26,196384443.0,13461289668.0,19858182061.0,0.009889346486841,601138.SH,sh601138
2025-09-25,67.51,69.48,65.83,68.09,188668167.0,12883412578.0,19858182061.0,0.0095007773833703,601138.SH,sh601138
2025-09-26,67.18,68.14,64.3,64.52,192175650.0,12691205307.0,19858182061.0,0.0096774039743254,601138.SH,sh601138
2025-09-29,64.5,67.13,64.5,66.22,155035785.0,10295116892.0,19858182061.0,0.0078071489385968,601138.SH,sh601138
