TRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,OUTSTANDING_SHARE,TURNOVER,TS_CODE,AK_SYMBOL
2025-07-24,92.1,92.18,82.01,83.58,33388006.0,2850228271.0,268807978.0,0.1242076453549306,300548.SZ,sz300548
2025-07-25,83.61,84.44,82.08,82.66,18425387.0,1530303395.0,268807978.0,0.0685447922233915,300548.SZ,sz300548
2025-07-28,82.67,85.36,80.67,84.1,19860815.0,1652174036.0,268807978.0,0.0738847676611741,300548.SZ,sz300548
2025-07-29,84.58,93.39,84.51,92.34,32350160.0,2922486522.0,268807978.0,0.1203467257210647,300548.SZ,sz300548
2025-07-30,90.92,93.04,89.12,91.01,20720600.0,1886895832.0,268812978.0,0.0770818438684162,300548.SZ,sz300548
2025-07-31,93.05,94.76,85.4,86.28,34114312.0,3046935735.0,268812978.0,0.1269072358552569,300548.SZ,sz300548
2025-08-01,86.42,87.4,83.4,84.83,17397571.0,1484592379.0,268812978.0,0.0647199816371961,300548.SZ,sz300548
2025-08-04,83.33,84.4,82.11,84.1,13234564.0,1107494089.0,268812978.0,0.0492333521188846,300548.SZ,sz300548
2025-08-05,86.49,99.99,85.31,95.4,42807619.0,3898613419.0,268812978.0,0.1592468463334385,300548.SZ,sz300548
2025-08-06,93.17,95.4,91.88,93.82,20996356.0,1961196256.0,268812978.0,0.0781076723163269,300548.SZ,sz300548
2025-08-07,93.82,94.72,88.42,92.0,20842914.0,1903479122.0,268812978.0,0.0775368591020929,300548.SZ,sz300548
2025-08-08,92.0,95.48,90.5,90.71,18868957.0,1756094331.0,268812978.0,0.0701936236129194,300548.SZ,sz300548
2025-08-11,90.27,93.7,89.5,91.74,18657735.0,1711345025.0,268812978.0,0.0694078654193548,300548.SZ,sz300548
2025-08-12,90.99,92.89,90.0,92.58,18713264.0,1715929201.0,268812978.0,0.069614436547033,300548.SZ,sz300548
2025-08-13,92.23,97.95,90.6,97.47,28142483.0,2690446327.0,268814728.0,0.104691001156752,300548.SZ,sz300548
2025-08-14,96.08,96.9,90.66,90.88,22795505.0,2117860836.0,268814728.0,0.0848000597645825,300548.SZ,sz300548
2025-08-15,90.99,93.51,90.23,91.95,17063786.0,1570622785.0,268814728.0,0.0634778686679697,300548.SZ,sz300548
2025-08-18,92.27,102.18,90.33,99.16,27364768.0,2666118965.0,268814728.0,0.1017978747057341,300548.SZ,sz300548
2025-08-19,99.18,105.26,99.0,100.26,26239437.0,2658383873.0,268814728.0,0.0976116048224857,300548.SZ,sz300548
2025-08-20,98.26,109.88,93.25,106.32,30666726.0,3115338476.0,268814728.0,0.1140812716184211,300548.SZ,sz300548
2025-08-21,109.07,110.22,99.42,99.64,25325121.0,2585531171.0,268814728.0,0.0942103179703754,300548.SZ,sz300548
2025-08-22,99.67,103.18,98.2,101.77,18643257.0,1884757459.0,268814728.0,0.0693535549138513,300548.SZ,sz300548
2025-08-25,104.35,120.08,103.0,116.92,34019033.0,3736244753.0,268814728.0,0.1265519685364858,300548.SZ,sz300548
2025-08-26,116.92,124.9,113.64,119.72,29569182.0,3533728208.0,268815478.0,0.1099980634299636,300548.SZ,sz300548
2025-08-27,122.15,139.99,120.12,134.67,35607437.0,4677008534.0,268815478.0,0.1324605162802418,300548.SZ,sz300548
2025-08-28,135.0,160.04,134.8,160.04,32418466.0,4756555838.0,268815478.0,0.1205974679776437,300548.SZ,sz300548
2025-08-29,145.0,151.4,135.0,141.53,48149625.0,6773419640.0,268815478.0,0.1791177552655654,300548.SZ,sz300548
2025-09-01,143.1,148.68,133.33,144.25,39200983.0,5547365479.0,268815478.0,0.1458285932478932,300548.SZ,sz300548
2025-09-02,144.29,149.0,128.5,130.31,33863367.0,4688201540.0,268815478.0,0.1259725342154591,300548.SZ,sz300548
2025-09-03,128.84,138.9,126.66,135.79,26558506.0,3564299206.0,268815478.0,0.0987982767867258,300548.SZ,sz300548
2025-09-04,139.02,144.0,116.02,119.0,34501805.0,4387419109.0,268815478.0,0.1283475388273587,300548.SZ,sz300548
2025-09-05,121.0,125.83,117.03,124.01,28557975.0,3479757442.0,268815478.0,0.1062363492328369,300548.SZ,sz300548
2025-09-08,122.41,123.29,115.58,118.85,22662693.0,2678096506.0,268815478.0,0.0843057593580976,300548.SZ,sz300548
2025-09-09,118.9,120.29,114.05,115.41,16746453.0,1963564831.0,268815478.0,0.0622972052226843,300548.SZ,sz300548
2025-09-10,118.04,120.29,114.0,117.88,24263701.0,2849596000.0,268815478.0,0.0902615473652153,300548.SZ,sz300548
2025-09-11,119.0,128.03,116.7,127.48,33547925.0,4148161375.0,268815478.0,0.1247990824397395,300548.SZ,sz300548
2025-09-12,123.02,125.27,119.06,119.29,28720854.0,3490391746.0,268815478.0,0.1068422630039182,300548.SZ,sz300548
2025-09-15,118.29,120.2,115.71,117.85,17770880.0,2102961226.0,268815478.0,0.0661080981356289,300548.SZ,sz300548
2025-09-16,117.87,119.9,113.33,116.85,20267527.0,2357821105.0,268815478.0,0.0753956846190233,300548.SZ,sz300548
2025-09-17,116.9,121.43,115.0,119.94,25586996.0,3036182322.0,268815478.0,0.0951842363779365,300548.SZ,sz300548
2025-09-18,119.01,130.48,117.22,127.78,36421257.0,4552447547.0,268815478.0,0.1354879461219119,300548.SZ,sz300548
2025-09-19,129.0,135.84,124.0,128.0,30765820.0,4017335946.0,268815478.0,0.1144495853769253,300548.SZ,sz300548
2025-09-22,127.0,131.15,119.27,128.16,24463478.0,3080508240.0,268815478.0,0.0910047225777676,300548.SZ,sz300548
2025-09-23,131.0,132.68,120.5,123.74,20996048.0,2628822432.0,268815478.0,0.0781058001429515,300548.SZ,sz300548
2025-09-24,120.03,120.49,114.66,116.76,23088954.0,2711445333.0,268815478.0,0.0858914604612164,300548.SZ,sz300548
2025-09-25,115.07,119.09,112.6,115.71,17266409.0,2008543834.0,268815478.0,0.0642314539641203,300548.SZ,sz300548
2025-09-26,114.3,116.5,109.0,109.09,18622886.0,2085564483.0,268815478.0,0.0692775808095395,300548.SZ,sz300548
2025-09-29,107.13,110.49,105.8,108.88,16676510.0,1812941164.0,268815478.0,0.0620370155917882,300548.SZ,sz300548
2025-09-30,108.89,111.72,105.38,106.27,18840542.0,2021328348.0,268815478.0,0.0700872663292104,300548.SZ,sz300548
2025-10-09,105.06,108.29,105.06,105.4,15463724.0,1642724978.0,268815478.0,0.0575254226990605,300548.SZ,sz300548
2025-10-10,104.88,106.6,101.01,101.3,15517381.0,1601970753.0,268815478.0,0.0577250280208939,300548.SZ,sz300548
2025-10-13,94.0,101.49,94.0,100.29,13178955.0,1312126872.0,268815478.0,0.049026027437304,300548.SZ,sz300548
2025-10-14,101.95,101.95,94.72,95.1,14410892.0,1407447116.0,268815478.0,0.0536088625075376,300548.SZ,sz300548
2025-10-15,94.66,97.16,93.7,96.8,12191269.0,1165510759.0,268815478.0,0.0453518119220798,300548.SZ,sz300548
2025-10-16,96.06,100.9,95.8,97.98,17604356.0,1744956506.0,268815478.0,0.0654886248774707,300548.SZ,sz300548
2025-10-17,97.9,99.38,95.02,95.7,12966404.0,1256510307.0,268815478.0,0.0482353326395885,300548.SZ,sz300548
2025-10-20,97.59,101.48,97.03,97.9,17714624.0,1755658304.0,268815478.0,0.0658988244717069,300548.SZ,sz300548
2025-10-21,98.0,102.49,96.2,101.86,21684498.0,2172574568.0,268815478.0,0.0806668505896077,300548.SZ,sz300548
2025-10-22,100.0,104.67,99.9,102.54,18936508.0,1940643631.0,268815478.0,0.0704442621417803,300548.SZ,sz300548
2025-10-23,100.93,102.0,97.01,98.42,13875669.0,1367269200.0,268815478.0,0.0516178201613822,300548.SZ,sz300548
2025-10-24,100.05,109.9,99.41,109.6,31714990.0,3349496649.0,268815478.0,0.1179805204520254,300548.SZ,sz300548
2025-10-27,111.6,117.9,109.7,116.1,35659943.0,4063552404.0,268815478.0,0.1326558398545786,300548.SZ,sz300548
2025-10-28,113.03,115.2,111.6,113.65,25031551.0,2842140402.0,268815478.0,0.0931179677086897,300548.SZ,sz300548
2025-10-29,114.51,115.24,107.07,110.19,25493106.0,2811296743.0,268815478.0,0.0948349633349609,300548.SZ,sz300548
2025-10-30,111.32,115.32,106.0,106.06,24617518.0,2726249915.0,268815478.0,0.0915777550576905,300548.SZ,sz300548
2025-10-31,104.52,105.3,99.84,100.11,21991194.0,2241804308.0,268815478.0,0.0818077670363906,300548.SZ,sz300548
2025-11-03,99.04,100.11,96.76,99.72,16523438.0,1626494204.0,268815478.0,0.0614675840949902,300548.SZ,sz300548
