TRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,OUTSTANDING_SHARE,TURNOVER,TS_CODE,AK_SYMBOL
2025-07-25,19.81,19.92,19.66,19.7,125296458.0,2494451752.0,20587938340.0,0.0060859157401187,601899.SH,sh601899
2025-07-28,19.56,19.65,19.28,19.65,143705129.0,2826138227.0,20587938340.0,0.006980064085426,601899.SH,sh601899
2025-07-29,19.45,19.59,19.36,19.44,129687009.0,2540208532.0,20587938340.0,0.006299174150334,601899.SH,sh601899
2025-07-30,19.45,19.83,19.44,19.67,154361848.0,3064213164.0,20587938340.0,0.0074976836170182,601899.SH,sh601899
2025-07-31,19.36,19.37,18.88,19.0,208764256.0,4005043931.0,20587938340.0,0.0101401244045109,601899.SH,sh601899
2025-08-01,18.95,19.28,18.9,19.11,121999050.0,2351099357.0,20587938340.0,0.0059257536128797,601899.SH,sh601899
2025-08-04,19.42,19.79,19.35,19.73,173825988.0,3441252666.0,20587938340.0,0.0084430983389082,601899.SH,sh601899
2025-08-05,19.84,19.87,19.62,19.72,113838689.0,2261663413.0,20587938340.0,0.0055293875044702,601899.SH,sh601899
2025-08-06,19.66,20.1,19.63,20.01,142803170.0,2872001337.0,20587938340.0,0.0069362540163892,601899.SH,sh601899
2025-08-07,20.01,20.2,19.81,20.14,131718225.0,2654382864.0,20587938340.0,0.0063978346362193,601899.SH,sh601899
2025-08-08,20.2,20.54,20.14,20.38,127651036.0,2618565637.0,20587938340.0,0.0062002826068304,601899.SH,sh601899
2025-08-11,20.35,20.35,20.04,20.1,140992044.0,2864111116.0,20587938340.0,0.0068482837704088,601899.SH,sh601899
2025-08-12,20.07,20.4,19.99,20.14,117353420.0,2391313473.0,20587938340.0,0.0057001054725327,601899.SH,sh601899
2025-08-13,20.29,21.01,20.24,20.86,185834096.0,3897572686.0,20587938340.0,0.0090263577115415,601899.SH,sh601899
2025-08-14,20.87,21.37,20.81,21.01,138815217.0,2948194291.0,20587938340.0,0.0067425506482258,601899.SH,sh601899
2025-08-15,20.78,21.4,20.71,21.13,170980482.0,3639984797.0,20587938340.0,0.0083048860539767,601899.SH,sh601899
2025-08-18,21.14,21.21,20.64,20.64,261095278.0,5491225050.0,20587938340.0,0.0126819535636903,601899.SH,sh601899
2025-08-19,20.65,20.98,20.12,20.17,235250121.0,4846967844.0,20587938340.0,0.0114265992599626,601899.SH,sh601899
2025-08-20,20.17,20.41,20.04,20.4,168298578.0,3431781958.0,20587938340.0,0.0081746202665186,601899.SH,sh601899
2025-08-21,20.55,20.64,20.35,20.44,128648595.0,2656358870.0,20587938340.0,0.006248736171414,601899.SH,sh601899
2025-08-22,20.49,20.6,20.29,20.5,148995531.0,3068477130.0,20587938340.0,0.0072370301746299,601899.SH,sh601899
2025-08-25,20.89,22.08,20.89,22.04,306329955.0,6684074080.0,20587938340.0,0.0148790981370308,601899.SH,sh601899
2025-08-26,22.02,22.38,21.79,22.22,184883107.0,4120538086.0,20587938340.0,0.0089801661510124,601899.SH,sh601899
2025-08-27,22.32,23.12,22.15,22.36,238891020.0,5439362667.0,20587938340.0,0.0116034454764157,601899.SH,sh601899
2025-08-28,22.37,22.71,22.04,22.35,173370467.0,3907967187.0,20587938340.0,0.0084209727140653,601899.SH,sh601899
2025-08-29,22.65,23.3,22.53,22.9,250412819.0,5782016977.0,20587938340.0,0.0121630837854937,601899.SH,sh601899
2025-09-01,23.72,24.46,23.23,24.19,376321765.0,9088067647.0,20587938340.0,0.0182787493718518,601899.SH,sh601899
2025-09-02,24.58,24.89,23.8,24.22,343891358.0,8418441905.0,20587938340.0,0.0167035354546335,601899.SH,sh601899
2025-09-03,24.91,25.31,24.2,24.75,307190816.0,7639539377.0,20587938340.0,0.0149209119887037,601899.SH,sh601899
2025-09-04,24.61,24.99,23.21,23.69,387755285.0,9324657061.0,20587938340.0,0.0188340997819405,601899.SH,sh601899
