TRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,OUTSTANDING_SHARE,TURNOVER,TS_CODE,AK_SYMBOL
2025-07-25,47.99,48.26,47.13,47.67,18348957.0,874220260.0,268019841.0,0.0684611890356281,603083.SH,sh603083
2025-07-28,47.78,49.48,47.78,49.2,27341786.0,1333116902.0,268019841.0,0.1020140370876497,603083.SH,sh603083
2025-07-29,48.77,50.78,48.59,50.76,32267872.0,1613417653.0,268019841.0,0.1203935942936403,603083.SH,sh603083
2025-07-30,49.98,50.13,48.46,49.33,25026520.0,1230631224.0,268019841.0,0.09337562438148,603083.SH,sh603083
2025-07-31,50.61,54.27,50.58,54.26,74150115.0,3989206438.0,268019841.0,0.2766590515214879,603083.SH,sh603083
2025-08-01,52.63,54.4,50.48,50.85,54925045.0,2883329902.0,268019841.0,0.2049290261313154,603083.SH,sh603083
2025-08-04,49.99,50.98,49.54,50.4,26773011.0,1344244108.0,268019841.0,0.0998918994209835,603083.SH,sh603083
2025-08-05,51.41,51.94,49.4,50.54,30260281.0,1528996194.0,268019841.0,0.1129031376449477,603083.SH,sh603083
2025-08-06,50.08,50.68,49.67,50.34,21032260.0,1054164877.0,268019841.0,0.0784727724691098,603083.SH,sh603083
2025-08-07,50.48,51.3,48.28,49.76,28665399.0,1425802592.0,268019841.0,0.106952525951241,603083.SH,sh603083
2025-08-08,49.3,50.21,48.96,49.32,15133352.0,750648536.0,268019841.0,0.0564635511443348,603083.SH,sh603083
2025-08-11,49.4,52.21,49.21,51.59,32197920.0,1642938324.0,268019841.0,0.1201325986907066,603083.SH,sh603083
2025-08-12,51.53,51.88,50.86,51.76,22150157.0,1139566089.0,268019841.0,0.0826437211415254,603083.SH,sh603083
2025-08-13,51.92,56.94,51.38,56.9,55126151.0,3034251688.0,268019841.0,0.2056793661033475,603083.SH,sh603083
2025-08-14,55.56,56.28,53.31,53.44,35091764.0,1919485582.0,268019841.0,0.1309297247139252,603083.SH,sh603083
2025-08-15,53.5,54.36,52.78,53.56,27220668.0,1458676360.0,268019841.0,0.1015621377075587,603083.SH,sh603083
2025-08-18,54.38,58.92,54.03,58.92,49576356.0,2868700085.0,268019841.0,0.1849727087928538,603083.SH,sh603083
2025-08-19,60.66,64.81,60.0,64.81,20758897.0,1316703745.0,268019841.0,0.0774528367845722,603083.SH,sh603083
2025-08-20,64.43,67.61,62.81,66.62,64286788.0,4227669557.0,268019841.0,0.23985831705646,603083.SH,sh603083
2025-08-21,65.5,66.62,60.0,62.65,50096046.0,3150201829.0,268019841.0,0.1869117070329133,603083.SH,sh603083
2025-08-22,62.98,67.96,61.98,66.23,46079811.0,3004910362.0,268019841.0,0.1719268649219145,603083.SH,sh603083
2025-08-25,72.85,72.85,72.85,72.85,5465538.0,398328409.0,268019841.0,0.0203922887932763,603083.SH,sh603083
2025-08-26,80.14,80.14,80.14,80.14,2459102.0,197146207.0,268019841.0,0.0091750744677145,603083.SH,sh603083
2025-08-27,88.16,88.16,88.16,88.16,3930369.0,346619242.0,268019841.0,0.0146644703068829,603083.SH,sh603083
2025-08-28,94.95,95.04,81.96,95.04,97966240.0,9010272558.0,268019841.0,0.365518610989699,603083.SH,sh603083
2025-08-29,94.85,98.76,89.27,93.61,61459996.0,5684837204.0,268019841.0,0.2293113665417031,603083.SH,sh603083
2025-09-01,94.96,97.96,90.54,93.91,63137968.0,5954583560.0,268019841.0,0.2355719925973689,603083.SH,sh603083
2025-09-02,91.89,94.88,84.53,84.53,44373701.0,3927235542.0,268019841.0,0.1655612541013335,603083.SH,sh603083
2025-09-03,82.97,86.83,80.97,84.37,51078837.0,4266258019.0,268019841.0,0.190578566159212,603083.SH,sh603083
2025-09-04,85.08,85.97,75.93,75.93,42626954.0,3356537278.0,268019841.0,0.1590440239086628,603083.SH,sh603083
2025-09-05,74.68,81.47,74.13,80.77,46780023.0,3645487556.0,268019841.0,0.1745394028496569,603083.SH,sh603083
2025-09-08,80.7,82.17,78.67,80.01,32575254.0,2607395200.0,268019841.0,0.121540457148469,603083.SH,sh603083
2025-09-09,79.37,82.12,78.4,79.87,28058513.0,2254856507.0,268019841.0,0.1046881935878769,603083.SH,sh603083
2025-09-10,85.85,87.26,82.65,83.84,41361994.0,3503881004.0,268019841.0,0.1543243733213019,603083.SH,sh603083
2025-09-11,85.87,92.23,84.28,92.23,43874446.0,3885030543.0,268019841.0,0.1636985002166313,603083.SH,sh603083
2025-09-12,93.88,101.45,92.9,101.45,36315863.0,3608141657.0,268019841.0,0.135496920170175,603083.SH,sh603083
2025-09-15,102.96,111.6,102.84,108.96,64658764.0,7085835708.0,268019841.0,0.2412461844569186,603083.SH,sh603083
