TRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,OUTSTANDING_SHARE,TURNOVER,TS_CODE,AK_SYMBOL,RET,LOG_RET,RV_20,FUTURE_RV_5
2025-07-25,24.93,25.1,24.74,25.04,50911191.0,1270096658.0,2860079874.0,0.0178006185990874,000938.SZ,sz000938,0.0064308681672025,0.006410278360919,0.013644316708021,0.0095695557792996
2025-07-28,25.19,25.19,24.72,24.84,38502059.0,957060000.0,2860079874.0,0.0134618824285324,000938.SZ,sz000938,-0.0079872204472842,-0.0080192891666196,0.0134085799376398,0.0089020694326806
2025-07-29,24.77,25.15,24.43,25.1,58211575.0,1447329650.0,2860079874.0,0.0203531291308265,000938.SZ,sz000938,0.0104669887278583,0.0104125890724602,0.013546155110482,0.0076066879795428
2025-07-30,24.96,25.1,24.58,24.75,49872618.0,1238334218.0,2860079874.0,0.0174374913279082,000938.SZ,sz000938,-0.0139442231075698,-0.0140423571230389,0.0135066530448861,0.0082624166359363
2025-07-31,24.67,25.44,24.62,24.73,92329437.0,2319258608.0,2860079874.0,0.0322821183559714,000938.SZ,sz000938,-0.0008080808080808,-0.0008084074813744,0.012996789197658,0.00868554758962
2025-08-01,24.9,24.95,24.2,24.5,63237242.0,1554501024.0,2860079874.0,0.0221103062802084,000938.SZ,sz000938,-0.0093004448038819,-0.0093439639826435,0.0129686042900835,0.0110602452746157
2025-08-04,24.23,24.55,24.21,24.54,29362883.0,716666811.0,2860079874.0,0.0102664555864078,000938.SZ,sz000938,0.0016326530612245,0.001631321732084,0.0127171442989012,0.0141931001455496
2025-08-05,24.55,24.69,24.31,24.51,46754645.0,1143366383.0,2860079874.0,0.0163473214244924,000938.SZ,sz000938,-0.0012224938875304,-0.001223241742744,0.0103899678601559,0.014546640951423
2025-08-06,24.42,24.91,24.35,24.9,55903468.0,1381955902.0,2860079874.0,0.0195461212493396,000938.SZ,sz000938,0.0159118727050182,0.0157866059306406,0.0108450950740063,0.0141591324020243
2025-08-07,24.9,25.15,24.56,24.75,44429958.0,1100013127.0,2860079874.0,0.015534516502108,000938.SZ,sz000938,-0.0060240963855421,-0.0060423144559625,0.0109190036959393,0.0143889071934371
