TRADE_DATE,FLOW_CLOSE,FLOW_PCT_CHG,MAIN_NET_INFLOW,MAIN_NET_INFLOW_RATIO,XL_NET_INFLOW,XL_NET_INFLOW_RATIO,L_NET_INFLOW,L_NET_INFLOW_RATIO,M_NET_INFLOW,M_NET_INFLOW_RATIO,S_NET_INFLOW,S_NET_INFLOW_RATIO,TS_CODE
2025-10-24,372.97,7.25,688174848.0,3.45,1764245248.0,8.85,-1076070400.0,-5.4,-346628544.0,-1.74,-341546336.0,-1.71,300502.SZ
2025-10-27,403.95,8.31,529056768.0,2.28,1379843584.0,5.95,-850786816.0,-3.67,-280387328.0,-1.21,-248669616.0,-1.07,300502.SZ
2025-10-28,410.62,1.65,-229685760.0,-1.17,-235875072.0,-1.2,6189312.0,0.03,144983808.0,0.74,84701967.0,0.43,300502.SZ
2025-10-29,406.1,-1.1,-762279168.0,-3.3,-385773824.0,-1.67,-376505344.0,-1.63,664572160.0,2.87,97707344.0,0.42,300502.SZ
2025-10-30,374.0,-7.9,-3209662464.0,-10.73,-4203173632.0,-14.05,993511168.0,3.32,1437665536.0,4.81,1771996928.0,5.93,300502.SZ
2025-10-31,344.31,-7.94,-2222785024.0,-10.81,-1805746688.0,-8.78,-417038336.0,-2.03,415432848.0,2.02,1807352208.0,8.79,300502.SZ
2025-11-03,346.76,0.71,93690416.0,0.7,85244464.0,0.64,8445952.0,0.06,-175991792.0,-1.32,82301408.0,0.62,300502.SZ
2025-11-04,348.04,0.37,327224944.0,2.68,-42362064.0,-0.35,369587008.0,3.03,-246295200.0,-2.02,-80929744.0,-0.66,300502.SZ
2025-11-05,346.1,-0.56,-236138544.0,-2.68,-338172288.0,-3.83,102033744.0,1.16,93609856.0,1.06,142528688.0,1.62,300502.SZ
2025-11-06,356.71,3.07,753217136.0,5.37,802334224.0,5.72,-49117088.0,-0.35,-388459200.0,-2.77,-364758048.0,-2.6,300502.SZ
2025-11-07,349.79,-1.94,-761662640.0,-7.41,-671200272.0,-6.53,-90462368.0,-0.88,347029904.0,3.38,414632720.0,4.03,300502.SZ
2025-11-10,336.0,-3.94,-1864523424.0,-11.82,-1274140832.0,-8.08,-590382592.0,-3.74,523531264.0,3.32,1340992304.0,8.5,300502.SZ
2025-11-11,326.0,-2.98,-803892864.0,-6.39,-1038428720.0,-8.25,234535856.0,1.86,51831920.0,0.41,752060960.0,5.98,300502.SZ
2025-11-12,329.1,0.95,-120963584.0,-0.92,524428656.0,4.0,-645392240.0,-4.92,-432020592.0,-3.3,552984288.0,4.22,300502.SZ
2025-11-13,325.85,-0.99,93225888.0,1.04,114975648.0,1.28,-21749760.0,-0.24,-218658976.0,-2.43,125433088.0,1.39,300502.SZ
2025-11-14,310.58,-4.69,-1547831936.0,-15.05,-1538676096.0,-14.96,-9155840.0,-0.09,515880496.0,5.01,1031951424.0,10.03,300502.SZ
2025-11-17,311.7,0.36,-199370464.0,-1.99,-301273504.0,-3.01,101903040.0,1.02,61344688.0,0.61,138025760.0,1.38,300502.SZ
2025-11-18,316.86,1.66,799869312.0,7.29,745025168.0,6.79,54844144.0,0.5,-281364496.0,-2.57,-518504800.0,-4.73,300502.SZ
2025-11-19,322.4,1.75,977740640.0,8.62,337635168.0,2.98,640105472.0,5.65,-381965664.0,-3.37,-595774976.0,-5.25,300502.SZ
2025-11-20,327.74,1.66,960707504.0,7.38,838583776.0,6.44,122123728.0,0.94,-331262160.0,-2.54,-629445264.0,-4.83,300502.SZ
2025-11-21,300.0,-8.46,-1728661008.0,-12.89,-1740887088.0,-12.98,12226080.0,0.09,749938448.0,5.59,978722432.0,7.3,300502.SZ
2025-11-24,293.0,-2.33,-1194338992.0,-8.61,-386073296.0,-2.78,-808265696.0,-5.82,364150592.0,2.62,830188416.0,5.98,300502.SZ
2025-11-25,304.72,4.0,591659856.0,4.14,405880144.0,2.84,185779712.0,1.3,-314041680.0,-2.2,-277618336.0,-1.94,300502.SZ
2025-11-26,331.12,8.66,1651011584.0,7.49,1491096320.0,6.76,159915264.0,0.73,-928965376.0,-4.21,-722046384.0,-3.27,300502.SZ
2025-11-27,340.8,2.92,101065984.0,0.46,-141763328.0,-0.64,242829312.0,1.1,-281126464.0,-1.28,180060576.0,0.82,300502.SZ
2025-11-28,347.8,2.05,632351584.0,4.41,965593856.0,6.74,-333242272.0,-2.32,-304542704.0,-2.12,-327808816.0,-2.29,300502.SZ
2025-12-01,355.61,2.25,326763360.0,2.39,-126379264.0,-0.92,453142624.0,3.31,-53503152.0,-0.39,-273260000.0,-2.0,300502.SZ
2025-12-02,365.0,2.64,1076378592.0,7.87,952776096.0,6.97,123602496.0,0.9,-435039040.0,-3.18,-641339424.0,-4.69,300502.SZ
2025-12-03,373.13,2.23,572174080.0,2.59,258654208.0,1.17,313519872.0,1.42,-274865024.0,-1.24,-297309120.0,-1.35,300502.SZ
2025-12-04,374.25,0.3,-386938608.0,-3.1,-11075152.0,-0.09,-375863456.0,-3.01,-81443344.0,-0.65,468381952.0,3.75,300502.SZ
2025-12-05,377.51,0.87,-486802304.0,-3.62,-92781664.0,-0.69,-394020640.0,-2.93,188681856.0,1.4,298120480.0,2.22,300502.SZ
2025-12-08,404.52,7.15,614285568.0,2.75,383688192.0,1.72,230597376.0,1.03,-298132224.0,-1.34,-316153536.0,-1.42,300502.SZ
2025-12-09,419.13,3.61,298974208.0,1.48,112203264.0,0.56,186770944.0,0.93,-297752576.0,-1.48,-1221851.0,-0.01,300502.SZ
2025-12-10,432.26,3.13,246748160.0,1.15,1318424576.0,6.12,-1071676416.0,-4.97,-255511808.0,-1.19,8763526.0,0.04,300502.SZ
2025-12-11,416.51,-3.64,-416014592.0,-1.57,-194817280.0,-0.73,-221197312.0,-0.83,417880576.0,1.57,-1865781.0,-0.01,300502.SZ
2025-12-12,428.0,2.76,-87160064.0,-0.35,562795264.0,2.26,-649955328.0,-2.61,88420352.0,0.35,-1260193.0,-0.01,300502.SZ
