TRADE_DATE,FLOW_CLOSE,FLOW_PCT_CHG,MAIN_NET_INFLOW,MAIN_NET_INFLOW_RATIO,XL_NET_INFLOW,XL_NET_INFLOW_RATIO,L_NET_INFLOW,L_NET_INFLOW_RATIO,M_NET_INFLOW,M_NET_INFLOW_RATIO,S_NET_INFLOW,S_NET_INFLOW_RATIO,TS_CODE
2025-10-24,69.15,5.17,43409264.0,0.78,-5745296.0,-0.1,49154560.0,0.88,197649120.0,3.54,-241058384.0,-4.32,002384.SZ
2025-10-27,74.47,7.69,627462960.0,9.12,507395328.0,7.37,120067632.0,1.74,-82631136.0,-1.2,-544831808.0,-7.92,002384.SZ
2025-10-28,73.9,-0.77,-244571584.0,-5.36,-208143744.0,-4.56,-36427840.0,-0.8,127263984.0,2.79,117307600.0,2.57,002384.SZ
2025-10-29,74.62,0.97,64502496.0,1.38,-155491456.0,-3.32,219993952.0,4.69,19672144.0,0.42,-84174656.0,-1.8,002384.SZ
2025-10-30,72.65,-2.64,-257058432.0,-7.12,-292590400.0,-8.11,35531968.0,0.98,103683440.0,2.87,153375008.0,4.25,002384.SZ
2025-10-31,68.5,-5.71,-402184048.0,-9.53,-326880960.0,-7.74,-75303088.0,-1.78,64106384.0,1.52,338077648.0,8.01,002384.SZ
2025-11-03,69.29,1.15,297731680.0,8.38,30874896.0,0.87,266856784.0,7.51,71023744.0,2.0,-368755424.0,-10.38,002384.SZ
2025-11-04,69.22,-0.1,456773840.0,12.76,165139904.0,4.61,291633936.0,8.14,9134640.0,0.26,-465908448.0,-13.01,002384.SZ
2025-11-05,68.6,-0.9,-7333872.0,-0.27,48889488.0,1.82,-56223360.0,-2.1,-16500560.0,-0.62,23834432.0,0.89,002384.SZ
2025-11-06,75.46,10.0,961893216.0,12.64,1175543424.0,15.45,-213650208.0,-2.81,-484625408.0,-6.37,-477267808.0,-6.27,002384.SZ
2025-11-07,73.04,-3.21,-342364288.0,-6.55,-296662480.0,-5.68,-45701808.0,-0.87,6074944.0,0.12,336289360.0,6.43,002384.SZ
2025-11-10,74.03,1.36,12144384.0,0.24,100717920.0,1.97,-88573536.0,-1.73,107632912.0,2.1,-119777296.0,-2.34,002384.SZ
2025-11-11,75.9,2.53,467896576.0,6.71,511226688.0,7.34,-43330112.0,-0.62,-173317680.0,-2.49,-294578880.0,-4.23,002384.SZ
2025-11-12,75.51,-0.51,119154016.0,2.43,24277136.0,0.49,94876880.0,1.93,-13316976.0,-0.27,-105837040.0,-2.16,002384.SZ
2025-11-13,72.17,-4.42,-121008800.0,-2.94,126216368.0,3.06,-247225168.0,-6.0,70422896.0,1.71,50585904.0,1.23,002384.SZ
2025-11-14,69.11,-4.24,-341678896.0,-9.65,-340188032.0,-9.61,-1490864.0,-0.04,197581760.0,5.58,144097136.0,4.07,002384.SZ
2025-11-17,70.79,2.43,26364016.0,0.78,-82223856.0,-2.44,108587872.0,3.22,39958224.0,1.19,-66322240.0,-1.97,002384.SZ
2025-11-18,72.8,2.84,230823616.0,5.9,275589520.0,7.04,-44765904.0,-1.14,-50428912.0,-1.29,-180394720.0,-4.61,002384.SZ
2025-11-19,71.69,-1.52,-69193504.0,-2.91,-48558176.0,-2.04,-20635328.0,-0.87,1134128.0,0.05,68059360.0,2.86,002384.SZ
2025-11-20,70.6,-1.52,-227437104.0,-8.1,-146901376.0,-5.23,-80535728.0,-2.87,131788848.0,4.7,95648256.0,3.41,002384.SZ
2025-11-21,64.73,-8.31,-443119600.0,-12.74,-230989104.0,-6.64,-212130496.0,-6.1,121339952.0,3.49,321779648.0,9.25,002384.SZ
2025-11-24,64.35,-0.59,-104828672.0,-3.66,-10895584.0,-0.38,-93933088.0,-3.28,-91718816.0,-3.21,196547488.0,6.87,002384.SZ
2025-11-25,69.29,7.68,5003888.0,0.13,135812992.0,3.51,-130809104.0,-3.38,-101239008.0,-2.62,96235120.0,2.49,002384.SZ
2025-11-26,74.0,6.8,264460544.0,4.56,314311344.0,5.42,-49850800.0,-0.86,-154013936.0,-2.66,-110446624.0,-1.9,002384.SZ
2025-11-27,73.58,-0.57,-131023552.0,-2.98,-74295168.0,-1.69,-56728384.0,-1.29,12455504.0,0.28,118568048.0,2.7,002384.SZ
2025-11-28,75.06,2.01,215810048.0,5.68,257825168.0,6.78,-42015120.0,-1.1,-16220400.0,-0.43,-199589648.0,-5.25,002384.SZ
2025-12-01,75.56,0.67,59761488.0,1.64,-165153520.0,-4.54,224915008.0,6.18,34390784.0,0.95,-94152272.0,-2.59,002384.SZ
2025-12-02,73.26,-3.04,-178525104.0,-6.17,-233627120.0,-8.07,55102016.0,1.9,-42956256.0,-1.48,221481376.0,7.65,002384.SZ
2025-12-03,72.61,-0.89,-121881760.0,-4.02,-154272704.0,-5.09,32390944.0,1.07,-11718928.0,-0.39,133600688.0,4.41,002384.SZ
2025-12-04,69.3,-4.56,-212521088.0,-4.39,-122695904.0,-2.53,-89825184.0,-1.85,-242852112.0,-5.01,455373200.0,9.4,002384.SZ
2025-12-05,70.12,1.18,180343440.0,6.81,40431232.0,1.53,139912208.0,5.28,-120479088.0,-4.55,-59864352.0,-2.26,002384.SZ
2025-12-08,75.36,7.47,237856096.0,4.4,283216704.0,5.24,-45360608.0,-0.84,93641824.0,1.73,-331497920.0,-6.13,002384.SZ
2025-12-09,77.8,3.24,217317712.0,3.44,183885024.0,2.91,33432688.0,0.53,3972960.0,0.06,-221290656.0,-3.51,002384.SZ
2025-12-10,80.57,3.56,9486320.0,0.12,-395476816.0,-5.01,404963136.0,5.13,-65524064.0,-0.83,56037760.0,0.71,002384.SZ
2025-12-11,78.76,-2.25,-104919392.0,-2.6,-166065632.0,-4.11,61146240.0,1.51,-42293968.0,-1.05,147213376.0,3.64,002384.SZ
2025-12-12,84.86,7.75,1106978848.0,9.12,1589788160.0,13.09,-482809312.0,-3.98,-562644176.0,-4.63,-544334544.0,-4.48,002384.SZ
2025-12-15,80.11,-5.6,-12862304.0,-0.2,-179463568.0,-2.8,166601264.0,2.6,57239552.0,0.89,-44377248.0,-0.69,002384.SZ
2025-12-16,78.18,-2.41,-457881680.0,-13.04,-385753408.0,-10.98,-72128272.0,-2.05,112715440.0,3.21,345166224.0,9.83,002384.SZ
2025-12-17,81.41,4.13,176928944.0,4.75,-4725968.0,-0.13,181654912.0,4.88,-74644768.0,-2.0,-102284176.0,-2.75,002384.SZ
2025-12-18,76.35,-6.22,-358962848.0,-9.9,-297441776.0,-8.2,-61521072.0,-1.7,27807136.0,0.77,331155712.0,9.13,002384.SZ
2025-12-19,75.62,-0.96,-167154912.0,-7.62,-123834752.0,-5.65,-43320160.0,-1.98,39808336.0,1.82,127346592.0,5.81,002384.SZ
2025-12-22,81.82,8.2,270700096.0,5.55,-104664336.0,-2.15,375364432.0,7.69,-195893376.0,-4.02,-74806720.0,-1.53,002384.SZ
2025-12-23,81.31,-0.62,-34263200.0,-1.29,-64938016.0,-2.44,30674816.0,1.15,-17268160.0,-0.65,51531376.0,1.94,002384.SZ
2025-12-24,84.1,3.43,662469200.0,14.48,617578352.0,13.5,44890848.0,0.98,-248269104.0,-5.43,-414200080.0,-9.05,002384.SZ
2025-12-25,85.88,2.12,230622992.0,4.28,250698448.0,4.65,-20075456.0,-0.37,-88633072.0,-1.64,-141989904.0,-2.63,002384.SZ
2025-12-26,85.49,-0.45,-214359328.0,-5.8,-24204560.0,-0.65,-190154768.0,-5.14,-23965248.0,-0.65,238324592.0,6.45,002384.SZ
2025-12-29,88.0,2.94,400693312.0,7.95,86044688.0,1.71,314648624.0,6.24,-134757584.0,-2.67,-265935728.0,-5.28,002384.SZ
2025-12-30,87.4,-0.68,78665584.0,2.03,13320848.0,0.34,65344736.0,1.69,-7286624.0,-0.19,-71378960.0,-1.84,002384.SZ
2025-12-31,84.65,-3.15,-185204192.0,-6.4,-69094208.0,-2.39,-116109984.0,-4.01,-7123248.0,-0.25,192327440.0,6.64,002384.SZ
2026-01-05,84.66,0.01,-123988272.0,-3.79,-191998608.0,-5.87,68010336.0,2.08,49911888.0,1.53,74076384.0,2.27,002384.SZ
2026-01-06,81.49,-3.74,-633275616.0,-14.24,-346377040.0,-7.79,-286898576.0,-6.45,336816240.0,7.57,296459376.0,6.67,002384.SZ
2026-01-07,80.6,-1.09,-432097648.0,-10.61,-549094592.0,-13.48,116996944.0,2.87,220168064.0,5.41,211929600.0,5.2,002384.SZ
2026-01-08,81.11,0.63,-107412576.0,-2.74,-50170704.0,-1.28,-57241872.0,-1.46,91785760.0,2.34,15626816.0,0.4,002384.SZ
2026-01-09,81.46,0.43,-161067152.0,-4.93,-140311472.0,-4.29,-20755680.0,-0.64,39974048.0,1.22,121093104.0,3.71,002384.SZ
2026-01-12,78.44,-3.71,-558546096.0,-10.38,-351268752.0,-6.53,-207277344.0,-3.85,154308560.0,2.87,404237536.0,7.51,002384.SZ
2026-01-13,76.36,-2.65,-610431232.0,-14.15,-414889744.0,-9.61,-195541488.0,-4.53,211611264.0,4.9,398819984.0,9.24,002384.SZ
