TRADE_DATE,FLOW_CLOSE,FLOW_PCT_CHG,MAIN_NET_INFLOW,MAIN_NET_INFLOW_RATIO,XL_NET_INFLOW,XL_NET_INFLOW_RATIO,L_NET_INFLOW,L_NET_INFLOW_RATIO,M_NET_INFLOW,M_NET_INFLOW_RATIO,S_NET_INFLOW,S_NET_INFLOW_RATIO,TS_CODE
2025-10-24,494.0,12.05,1243767552.0,5.4,2177731328.0,9.45,-933963776.0,-4.05,-1242859776.0,-5.4,-907933.0,-0.0,300308.SZ
2025-10-27,508.94,3.02,124446464.0,0.55,306112768.0,1.34,-181666304.0,-0.8,-123770880.0,-0.54,-675802.0,-0.0,300308.SZ
2025-10-28,513.0,0.8,-1059006720.0,-4.87,-973637120.0,-4.48,-85369600.0,-0.39,1059652352.0,4.87,-645723.0,-0.0,300308.SZ
2025-10-29,520.72,1.5,-429373952.0,-1.98,-234953216.0,-1.08,-194420736.0,-0.9,430205184.0,1.99,-831457.0,-0.0,300308.SZ
2025-10-30,514.74,-1.15,-648179456.0,-2.75,-797614848.0,-3.38,149435392.0,0.63,648922880.0,2.75,-743294.0,-0.0,300308.SZ
2025-10-31,473.01,-8.11,-2532307712.0,-9.26,-2899105280.0,-10.6,366797568.0,1.34,2533056256.0,9.26,-748598.0,-0.0,300308.SZ
2025-11-03,480.0,1.48,-317445888.0,-1.69,73157888.0,0.39,-390603776.0,-2.09,317947136.0,1.7,-501273.0,-0.0,300308.SZ
2025-11-04,477.8,-0.46,-408444672.0,-2.32,-650835712.0,-3.69,242391040.0,1.38,409135616.0,2.32,-691358.0,-0.0,300308.SZ
2025-11-05,477.01,-0.17,-378182784.0,-3.05,-445084240.0,-3.59,66901456.0,0.54,378600320.0,3.06,-417632.0,-0.0,300308.SZ
2025-11-06,496.88,4.17,679008768.0,3.68,866656256.0,4.7,-187647488.0,-1.02,-678397184.0,-3.68,-611466.0,-0.0,300308.SZ
2025-11-07,490.05,-1.37,-527706800.0,-4.43,-435570224.0,-3.65,-92136576.0,-0.77,527997520.0,4.43,-290632.0,-0.0,300308.SZ
2025-11-10,490.0,-0.01,-729288128.0,-4.36,-1208655296.0,-7.22,479367168.0,2.86,729614848.0,4.36,-326934.0,-0.0,300308.SZ
2025-11-11,468.05,-4.48,-372753552.0,-2.39,-846577296.0,-5.42,473823744.0,3.03,373161472.0,2.39,-408116.0,-0.0,300308.SZ
2025-11-12,491.75,5.06,447291136.0,2.25,1057602816.0,5.32,-610311680.0,-3.07,-446324480.0,-2.24,-966592.0,-0.0,300308.SZ
2025-11-13,481.0,-2.19,409019680.0,2.73,-68534496.0,-0.46,477554176.0,3.18,-408444672.0,-2.72,-575127.0,-0.0,300308.SZ
2025-11-14,462.82,-3.78,-1147421056.0,-9.97,-1626352192.0,-14.13,478931136.0,4.16,1147975952.0,9.97,-554694.0,-0.0,300308.SZ
2025-11-17,483.2,4.4,704950064.0,5.22,498054176.0,3.69,206895888.0,1.53,-704588544.0,-5.21,-361665.0,-0.0,300308.SZ
2025-11-18,472.91,-2.13,-78040288.0,-0.68,-216772688.0,-1.88,138732400.0,1.2,78590720.0,0.68,-550409.0,-0.0,300308.SZ
2025-11-19,488.6,3.32,535224576.0,3.24,692902912.0,4.19,-157678336.0,-0.95,-534887936.0,-3.23,-336638.0,-0.0,300308.SZ
